name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Mustafi,ARS,DEF,5.2,Doubtful,34,1,0,1.0,0.3
Bellerín,ARS,DEF,5.4,Doubtful,172,1,0,0.5,0.4
Kolasinac,ARS,DEF,5.3,Available,701,20,1,1.8,0.7
Maitland-Niles,ARS,DEF,4.7,Available,490,17,3,2.8,2.9
Sokratis,ARS,DEF,5.0,Available,1080,31,2,2.6,1.8
Monreal,ARS,DEF,5.0,NotAvail,270,10,1,3.3,0.3
Koscielny,ARS,DEF,5.0,NotAvail,0,0,0,0.0,0.1
Mavropanos,ARS,DEF,4.4,Available,0,0,0,0.0,0.0
Jenkinson,ARS,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Holding,ARS,DEF,4.5,Available,76,1,0,1.0,0.1
Aubameyang,ARS,FWD,10.9,Available,1204,79,12,5.6,22.7
Lacazette,ARS,FWD,9.3,Available,529,39,5,4.3,2.5
Nketiah,ARS,FWD,4.3,NotAvail,0,0,0,0.0,0.7
Leno,ARS,GKP,5.0,Available,1204,46,3,3.3,5.9
Özil,ARS,MID,7.2,Available,374,12,0,2.4,0.8
Mkhitaryan,ARS,MID,6.8,NotAvail,110,4,0,1.3,0.8
Xhaka,ARS,MID,5.2,Available,773,20,0,2.0,0.7
Torreira,ARS,MID,4.7,Available,433,19,0,1.9,1.3
Elneny,ARS,MID,4.3,NotAvail,0,0,0,0.0,0.9
Guendouzi,ARS,MID,4.6,Available,1175,33,2,2.4,9.2
David Luiz,ARS,DEF,5.8,Doubtful,1114,35,3,2.7,5.5
Martínez,ARS,GKP,4.4,Available,0,0,0,0.0,0.3
Chambers,ARS,DEF,4.4,Available,754,28,2,2.8,1.6
Ceballos,ARS,MID,5.3,Injured,659,27,3,2.5,4.1
Pépé,ARS,MID,9.1,Available,784,32,2,2.7,2.5
Nelson,ARS,MID,5.3,Available,150,5,0,1.2,0.1
Willock,ARS,MID,4.9,Available,402,15,0,1.4,0.2
Martinelli,ARS,FWD,4.5,Available,82,7,0,1.4,1.6
Tierney,ARS,DEF,5.4,Available,250,3,0,1.0,0.9
Saka,ARS,MID,4.5,Available,342,12,0,2.0,0.8
El Mohamady,AVL,DEF,4.2,Available,251,7,3,1.2,0.9
Chester,AVL,DEF,4.3,Available,0,0,0,0.0,0.1
Taylor,AVL,DEF,4.4,Available,613,17,0,2.1,0.3
Hause,AVL,DEF,4.4,Available,0,0,0,0.0,0.1
Kodjia,AVL,FWD,5.4,Available,20,2,0,1.0,0.1
Nyland,AVL,GKP,4.3,Available,82,2,0,2.0,0.2
Hourihane,AVL,MID,5.7,Available,441,33,4,4.1,0.2
Grealish,AVL,MID,5.9,Available,983,49,5,4.5,3.9
El Ghazi,AVL,MID,5.5,Available,835,48,0,4.0,1.6
McGinn,AVL,MID,5.9,Available,1170,53,4,4.1,11.4
Green,AVL,MID,4.9,NotAvail,0,0,0,0.0,0.0
Bjarnason,AVL,MID,4.5,NotAvail,0,0,0,0.0,0.0
Davis,AVL,MID,4.4,Injured,74,6,0,1.0,0.3
Lansbury,AVL,MID,4.4,Available,31,4,0,1.0,0.6
Jota,AVL,MID,5.8,Doubtful,245,12,0,2.4,0.1
Heaton,AVL,GKP,4.5,Available,1080,38,0,3.2,5.5
Targett,AVL,DEF,4.4,Available,556,34,6,4.9,0.8
Wesley,AVL,FWD,5.9,Available,1104,49,7,3.8,2.2
Steer,AVL,GKP,4.4,Injured,7,1,0,1.0,0.1
Mings,AVL,DEF,4.5,Available,1170,35,3,2.7,4.9
Konsa,AVL,DEF,4.3,Available,195,8,0,2.7,0.1
Engels,AVL,DEF,4.5,Doubtful,974,31,4,2.8,0.7
Guilbert,AVL,DEF,4.4,Available,962,38,2,3.5,0.9
Trézéguet,AVL,MID,5.2,Available,692,27,1,2.5,1.5
Douglas Luiz,AVL,MID,4.5,Available,635,33,2,3.0,4.1
Kalinic,AVL,GKP,4.4,Available,0,0,0,0.0,0.1
Nakamba,AVL,MID,4.4,Available,682,16,0,2.0,1.2
Steve Cook,BOU,DEF,5.0,Available,1260,43,5,3.1,0.5
Aké,BOU,DEF,5.1,Available,1260,47,5,3.4,14.0
Daniels,BOU,DEF,4.3,Injured,126,3,0,1.5,0.1
Mepham,BOU,DEF,4.3,Available,271,13,2,3.2,0.8
Francis,BOU,DEF,4.4,Available,72,0,0,0.0,0.0
Adam Smith,BOU,DEF,4.3,Doubtful,747,30,3,3.3,1.0
Kelly,BOU,DEF,4.4,Doubtful,0,0,0,0.0,0.1
Rico,BOU,DEF,4.3,Available,965,34,2,3.1,13.7
Simpson,BOU,DEF,3.9,Available,0,0,0,0.0,6.4
Callum Wilson,BOU,FWD,7.6,Available,1220,58,4,4.1,7.4
King,BOU,FWD,6.2,Injured,1006,50,6,4.2,5.5
Solanke,BOU,FWD,5.3,Available,571,18,0,1.5,0.4
Surridge,BOU,FWD,4.4,NotAvail,0,0,0,0.0,0.5
Begovic,BOU,GKP,4.3,NotAvail,0,0,0,0.0,0.9
Boruc,BOU,GKP,4.3,Available,0,0,0,0.0,0.3
Travers,BOU,GKP,4.3,Available,0,0,0,0.0,0.2
Fraser,BOU,MID,7.0,Available,959,40,2,3.1,3.2
Brooks,BOU,MID,6.3,Injured,0,0,0,0.0,0.1
Stanislas,BOU,MID,5.9,Injured,0,0,0,0.0,0.0
Ibe,BOU,MID,4.7,Available,48,2,0,1.0,0.2
Lewis Cook,BOU,MID,5.0,Available,422,17,0,2.1,0.0
Surman,BOU,MID,4.7,Injured,57,3,0,1.0,0.0
Gosling,BOU,MID,4.9,Available,30,2,0,1.0,0.0
Lerma,BOU,MID,4.8,Available,958,18,0,1.5,0.1
Stacey,BOU,DEF,4.3,Available,436,6,0,1.2,0.1
Billing,BOU,MID,5.0,Available,1078,25,0,1.9,0.2
Danjuma,BOU,MID,5.8,Available,252,13,0,1.9,0.0
Ramsdale,BOU,GKP,4.7,Available,1260,55,7,3.9,4.3
Harry Wilson,BOU,MID,6.0,Available,783,57,5,4.4,3.1
Saydee,BOU,MID,4.5,Available,0,0,0,0.0,0.0
Kilkenny,BOU,MID,4.5,Available,0,0,0,0.0,0.0
Duffy,BHA,DEF,4.9,Available,614,21,0,2.6,1.1
Montoya,BHA,DEF,4.5,Available,1043,38,3,2.9,0.7
Bernardo,BHA,DEF,4.3,Injured,67,2,0,1.0,0.1
Balogun,BHA,DEF,4.4,Available,0,0,0,0.0,0.1
Bong,BHA,DEF,4.3,Available,57,3,0,0.8,0.1
Dunk,BHA,DEF,4.6,Available,1170,56,9,4.3,10.7
Clarke,BHA,DEF,4.4,NotAvail,0,0,0,0.0,0.0
Murray,BHA,FWD,5.5,Available,328,13,0,1.3,0.8
Locadia,BHA,FWD,5.2,NotAvail,85,3,0,1.5,0.1
Andone,BHA,FWD,4.8,NotAvail,71,5,1,1.7,0.4
Ryan,BHA,GKP,4.7,Available,1260,60,11,4.3,16.6
Button,BHA,GKP,4.0,Available,0,0,0,0.0,22.0
Groß,BHA,MID,6.4,Available,868,41,2,3.2,0.6
Jahanbakhsh,BHA,MID,5.8,Available,0,0,0,0.0,0.1
Izquierdo,BHA,MID,5.4,Injured,0,0,0,0.0,0.0
Knockaert,BHA,MID,5.4,NotAvail,0,0,0,0.0,0.0
Bissouma,BHA,MID,5.0,Available,144,6,0,1.2,0.0
Pröpper,BHA,MID,4.9,Available,1080,26,0,2.2,0.4
March,BHA,MID,4.7,Doubtful,598,21,3,2.6,0.3
Kayal,BHA,MID,4.3,NotAvail,0,0,0,0.0,0.2
Stephens,BHA,MID,4.5,Available,1232,28,0,2.0,2.5
Trossard,BHA,MID,5.8,Available,473,33,2,4.1,0.3
Burn,BHA,DEF,4.5,Available,1260,34,0,2.4,0.3
Webster,BHA,DEF,4.4,Available,845,24,2,2.4,0.2
Maupay,BHA,FWD,5.9,Available,974,47,7,3.4,1.0
Mooy,BHA,MID,4.8,Available,452,12,0,1.5,0.1
Connolly,BHA,FWD,4.7,Available,483,31,3,3.1,2.6
Baluta,BHA,DEF,4.0,Available,0,0,0,0.0,0.2
Alzate,BHA,MID,4.5,Available,567,16,0,2.0,0.1
Schelotto,BHA,DEF,4.0,Available,41,3,0,1.0,0.4
Mee,BUR,DEF,5.0,Available,1260,38,0,2.7,0.9
Tarkowski,BUR,DEF,5.1,Available,1260,57,9,4.1,3.5
Lowton,BUR,DEF,4.5,Available,990,29,0,2.6,0.8
Bardsley,BUR,DEF,4.3,Available,270,12,0,4.0,0.2
Taylor,BUR,DEF,4.2,Doubtful,295,15,0,3.0,1.0
Long,BUR,DEF,4.3,Available,0,0,0,0.0,0.1
Gibson,BUR,DEF,3.9,Available,0,0,0,0.0,2.7
Barnes,BUR,FWD,6.3,Available,1027,53,6,4.1,4.7
Wood,BUR,FWD,6.2,Available,1009,50,5,4.2,1.4
Vydra,BUR,FWD,5.3,Available,58,7,0,1.8,0.1
Pope,BUR,GKP,4.7,Available,1260,55,6,3.9,15.7
Hart,BUR,GKP,4.3,Available,0,0,0,0.0,1.2
Gudmundsson,BUR,MID,5.9,Injured,309,17,1,4.2,0.5
McNeil,BUR,MID,6.0,Available,1204,53,1,3.8,1.2
Brady,BUR,MID,5.5,Available,186,14,0,2.0,0.0
Defour,BUR,MID,5.5,NotAvail,0,0,0,0.0,0.0
Hendrick,BUR,MID,5.4,Available,838,35,4,3.2,0.1
Westwood,BUR,MID,5.4,Available,1170,37,2,2.8,0.4
Cork,BUR,MID,5.0,Available,1022,27,0,2.2,0.2
Drinkwater,BUR,MID,4.4,Available,0,0,0,0.0,0.7
Lennon,BUR,MID,4.7,Available,251,8,0,0.9,0.1
Pieters,BUR,DEF,4.6,Available,963,34,5,2.8,8.2
Rodriguez,BUR,FWD,5.7,Available,462,24,0,1.7,0.2
Peacock-Farrell,BUR,GKP,4.4,Available,0,0,0,0.0,0.1
Alonso,CHE,DEF,6.1,Available,498,36,3,5.1,3.0
Rüdiger,CHE,DEF,6.0,Injured,45,1,0,1.0,0.1
Azpilicueta,CHE,DEF,5.9,Available,1080,31,1,2.6,5.5
Emerson,CHE,DEF,5.5,Available,702,14,0,1.6,0.9
Christensen,CHE,DEF,4.9,Available,491,8,0,1.3,0.6
Zappacosta,CHE,DEF,4.3,NotAvail,0,0,0,0.0,0.2
Giroud,CHE,FWD,6.6,Available,190,7,0,1.4,1.1
Kepa,CHE,GKP,5.5,Available,1260,36,0,2.6,5.9
Caballero,CHE,GKP,4.8,Available,0,0,0,0.0,0.2
Willian,CHE,MID,7.1,Available,873,52,9,4.0,3.0
Pedro,CHE,MID,6.8,Available,304,9,0,2.2,1.2
Loftus-Cheek,CHE,MID,6.3,Injured,0,0,0,0.0,0.1
Hudson-Odoi,CHE,MID,5.7,Available,250,21,3,3.0,0.9
Barkley,CHE,MID,5.6,Doubtful,335,9,0,1.5,1.4
Jorginho,CHE,MID,5.1,Available,1087,41,5,3.2,4.3
Kanté,CHE,MID,5.0,Available,494,29,2,4.1,4.7
Ampadu,CHE,MID,4.4,NotAvail,0,0,0,0.0,0.0
Pulisic,CHE,MID,7.5,Available,742,59,5,5.4,15.2
Kovacic,CHE,MID,5.3,Available,969,31,2,2.2,1.0
Zouma,CHE,DEF,4.7,Available,1083,23,1,1.8,1.8
Abraham,CHE,FWD,7.9,Doubtful,959,83,16,6.4,35.6
Batshuayi,CHE,FWD,6.6,Available,81,19,1,2.4,1.3
Kenedy,CHE,MID,5.3,NotAvail,0,0,0,0.0,0.0
Mount,CHE,MID,6.7,Available,1144,61,6,4.4,29.5
James,CHE,DEF,5.0,Available,240,11,0,1.8,0.2
Tomori,CHE,DEF,4.9,Available,990,39,6,3.5,9.0
Gilmour,CHE,MID,4.5,Available,9,2,0,1.0,0.0
Guehi,CHE,DEF,4.0,Available,0,0,0,0.0,0.1
van Aanholt,CRY,DEF,5.6,Available,1260,50,3,3.6,10.3
Tomkins,CRY,DEF,5.0,Available,532,12,2,2.0,0.0
Sakho,CRY,DEF,5.0,Available,222,4,0,1.0,0.1
Ward,CRY,DEF,4.5,Injured,1102,38,5,2.9,2.4
Dann,CRY,DEF,4.3,Doubtful,245,13,0,3.2,0.2
Kelly,CRY,DEF,4.1,Available,684,36,2,4.0,24.0
Benteke,CRY,FWD,5.7,Available,289,13,0,1.1,0.6
Wickham,CRY,FWD,4.5,Available,15,2,0,1.0,2.6
Guaita,CRY,GKP,5.0,Available,1080,43,3,3.6,0.6
Hennessey,CRY,GKP,4.3,Available,180,6,0,3.0,0.7
Zaha,CRY,MID,6.6,Available,1195,47,3,3.4,8.1
Milivojevic,CRY,MID,6.7,Available,1155,40,6,3.1,2.5
Townsend,CRY,MID,5.6,Available,661,29,0,2.4,1.3
Meyer,CRY,MID,5.2,Available,171,6,0,1.5,0.1
Schlupp,CRY,MID,5.5,Available,750,29,1,2.4,0.1
McArthur,CRY,MID,5.2,Available,1107,38,2,2.9,0.7
Kouyaté,CRY,MID,4.9,Available,991,30,0,2.5,0.2
Dreher,CRY,MID,4.4,Available,0,0,0,0.0,0.1
McCarthy,CRY,MID,4.4,Available,160,8,0,0.9,0.6
Ayew,CRY,FWD,5.1,Available,1032,50,11,3.8,8.3
Cahill,CRY,DEF,4.5,Doubtful,990,23,1,2.1,1.8
Camarasa,CRY,MID,4.6,Available,5,1,0,1.0,0.2
Riedewald,CRY,MID,4.5,Available,0,0,0,0.0,0.0
Henderson,CRY,GKP,4.0,Available,0,0,0,0.0,0.2
Iwobi,EVE,MID,5.7,Available,682,26,2,2.4,1.2
Digne,EVE,DEF,5.8,Available,1152,41,4,3.2,15.6
Mina,EVE,DEF,5.3,Available,1080,31,4,2.6,2.4
Keane,EVE,DEF,5.4,Available,901,30,3,2.7,2.4
Coleman,EVE,DEF,5.3,Injured,689,19,2,2.1,1.4
Baines,EVE,DEF,4.9,Available,0,0,0,0.0,0.1
Tosun,EVE,FWD,5.7,Available,220,10,0,2.5,0.1
Calvert-Lewin,EVE,FWD,5.8,Available,541,30,2,2.7,0.9
Pickford,EVE,GKP,5.4,Available,1170,39,2,3.0,8.0
Stekelenburg,EVE,GKP,4.0,Available,0,0,0,0.0,8.5
Richarlison,EVE,MID,7.9,Available,1117,58,6,4.5,6.5
Sigurdsson,EVE,MID,7.4,Available,876,33,0,2.5,3.0
Bernard,EVE,MID,6.4,Doubtful,447,28,5,3.5,0.6
Walcott,EVE,MID,6.2,Doubtful,434,18,0,1.8,0.4
Davies,EVE,MID,5.3,Available,462,20,3,2.9,0.2
Lookman,EVE,MID,5.0,NotAvail,0,0,0,0.0,0.0
Gueye,EVE,MID,5.0,NotAvail,0,0,0,0.0,0.0
Schneiderlin,EVE,MID,4.4,Doubtful,617,9,0,1.1,0.8
Delph,EVE,DEF,5.4,Doubtful,558,6,0,0.9,0.2
André Gomes,EVE,MID,5.3,Injured,584,13,0,1.6,0.3
Gibson,EVE,DEF,4.3,Available,0,0,0,0.0,0.2
Holgate,EVE,DEF,4.4,Available,378,13,1,2.2,0.3
Lössl,EVE,GKP,4.3,Available,0,0,0,0.0,0.3
Kean,EVE,FWD,6.4,Available,287,14,0,1.6,1.5
Gbamin,EVE,MID,4.8,Injured,135,4,0,2.0,0.0
Sidibé,EVE,DEF,5.3,Available,456,18,3,3.0,0.2
Baningime,EVE,MID,4.5,Doubtful,0,0,0,0.0,0.0
Gordon,EVE,FWD,4.5,Available,0,0,0,0.0,0.0
Pereira,LEI,DEF,6.4,Available,1170,68,7,5.2,15.6
Chilwell,LEI,DEF,5.9,Available,990,62,3,5.6,14.8
Evans,LEI,DEF,5.1,Available,1141,53,4,4.1,2.9
Fuchs,LEI,DEF,4.3,Available,184,5,0,1.7,0.3
Söyüncü,LEI,DEF,5.0,Available,1170,61,5,4.7,17.7
Morgan,LEI,DEF,4.2,Available,56,4,0,1.0,0.7
Vardy,LEI,FWD,9.8,Available,1170,104,19,8.0,44.9
Iheanacho,LEI,FWD,5.7,Available,0,0,0,0.0,0.2
Schmeichel,LEI,GKP,5.3,Available,1170,58,1,4.5,12.9
Jakupovic,LEI,GKP,4.3,Available,0,0,0,0.0,0.1
Ward,LEI,GKP,4.3,Available,0,0,0,0.0,0.2
Maddison,LEI,MID,7.6,Available,1052,65,8,5.4,24.7
Barnes,LEI,MID,5.9,Available,713,46,3,3.8,1.3
Ghezzal,LEI,MID,5.2,NotAvail,0,0,0,0.0,0.0
Albrighton,LEI,MID,5.2,Available,182,9,0,1.5,0.2
Gray,LEI,MID,5.2,Available,204,15,0,1.7,0.3
Ndidi,LEI,MID,5.0,Available,1080,42,3,3.5,3.2
James,LEI,MID,4.3,Injured,0,0,0,0.0,0.2
Amartey,LEI,MID,4.3,Available,0,0,0,0.0,0.3
Mendy,LEI,MID,4.3,Available,1,1,0,1.0,0.9
Choudhury,LEI,MID,4.4,Available,318,14,0,1.8,0.7
Pérez,LEI,MID,6.2,Available,770,54,2,4.5,7.4
Justin,LEI,DEF,4.8,Available,0,0,0,0.0,0.1
Tielemans,LEI,MID,6.7,Available,1161,60,4,4.6,10.8
King,LEI,MID,4.3,NotAvail,0,0,0,0.0,0.4
Praet,LEI,MID,5.3,Available,307,16,0,1.8,0.1
Robertson,LIV,DEF,7.1,Available,1260,65,8,4.6,22.6
Alexander-Arnold,LIV,DEF,7.2,Available,1260,64,7,4.6,29.8
van Dijk,LIV,DEF,6.4,Available,1260,59,6,4.2,39.1
Gomez,LIV,DEF,5.1,Available,100,6,0,1.2,0.8
Matip,LIV,DEF,5.3,Injured,630,32,4,4.6,1.6
Lovren,LIV,DEF,5.3,Available,540,11,0,1.8,0.6
Firmino,LIV,FWD,9.4,Available,1161,67,12,4.8,10.7
Origi,LIV,FWD,5.2,Available,288,22,3,2.0,2.7
Alisson,LIV,GKP,6.0,Suspended,563,12,0,1.7,8.4
Mignolet,LIV,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Salah,LIV,MID,12.2,Available,1010,75,8,6.2,22.8
Mané,LIV,MID,12.2,Available,1146,94,13,6.7,40.7
Chamberlain,LIV,MID,6.2,Available,401,16,0,1.6,0.6
Shaqiri,LIV,MID,6.3,Available,11,2,0,1.0,0.2
Lallana,LIV,MID,5.8,Available,134,13,1,2.2,0.1
Keita,LIV,MID,5.8,Available,14,2,0,1.0,0.2
Fabinho,LIV,MID,5.5,Injured,1006,32,4,2.7,1.4
Henderson,LIV,MID,5.4,Available,887,38,2,2.9,1.0
Wijnaldum,LIV,MID,5.4,Available,1169,39,2,2.8,2.8
Milner,LIV,MID,5.3,Available,278,25,3,2.5,0.6
Camacho,LIV,MID,4.5,NotAvail,0,0,0,0.0,0.0
Brewster,LIV,FWD,4.3,Available,0,0,0,0.0,0.6
Adrián,LIV,GKP,4.2,Available,693,24,0,2.7,2.7
Lonergan,LIV,GKP,4.3,Available,0,0,0,0.0,0.0
Kelleher,LIV,GKP,4.5,Doubtful,0,0,0,0.0,0.0
Elliott,LIV,MID,4.5,Available,0,0,0,0.0,0.0
Laporte,MCI,DEF,6.3,Injured,306,9,0,2.2,2.1
Walker,MCI,DEF,5.8,Available,907,37,3,3.4,12.6
Mendy,MCI,DEF,5.7,Available,387,16,0,3.2,1.0
Zinchenko,MCI,DEF,5.2,Injured,585,18,0,2.6,2.8
Stones,MCI,DEF,5.3,Available,641,20,0,2.5,1.5
Otamendi,MCI,DEF,5.1,Available,603,27,0,3.4,2.6
Danilo,MCI,DEF,5.0,NotAvail,0,0,0,0.0,0.0
Agüero,MCI,FWD,11.8,Injured,810,72,6,6.0,13.1
Jesus,MCI,FWD,9.6,Available,545,34,1,3.1,2.9
Ederson,MCI,GKP,6.0,Available,1170,48,2,3.7,15.5
Bravo,MCI,GKP,4.8,Available,90,1,0,1.0,0.3
Sterling,MCI,MID,11.9,Available,1150,76,7,5.8,30.5
De Bruyne,MCI,MID,10.2,Available,1053,93,13,7.2,40.6
Sané,MCI,MID,9.3,Injured,0,0,0,0.0,0.2
Mahrez,MCI,MID,8.3,Available,615,58,9,5.8,3.7
Bernardo Silva,MCI,MID,7.9,Available,745,57,5,4.8,10.5
David Silva,MCI,MID,7.6,Available,830,68,7,5.2,7.9
Foden,MCI,MID,5.1,Available,74,6,0,1.0,0.3
Fernandinho,MCI,MID,5.2,Available,859,17,0,1.7,0.7
Gündogan,MCI,MID,5.2,Suspended,903,24,1,1.8,1.5
Angeliño,MCI,DEF,4.7,Available,242,8,1,2.0,0.2
Rodrigo,MCI,MID,5.4,Available,886,31,1,2.6,1.0
Cancelo,MCI,DEF,5.3,Available,397,19,3,3.2,1.2
Garcia,MCI,DEF,4.5,Available,27,1,0,1.0,0.0
Carson,MCI,GKP,4.0,Available,0,0,0,0.0,0.0
Wan-Bissaka,MUN,DEF,5.4,Available,980,25,2,2.3,15.6
Maguire,MUN,DEF,5.3,Available,1170,30,0,2.3,11.8
Smalling,MUN,DEF,5.3,NotAvail,0,0,0,0.0,0.1
Young,MUN,DEF,5.4,Available,771,15,0,1.7,0.3
Lindelöf,MUN,DEF,5.3,Available,1080,29,2,2.4,1.1
Shaw,MUN,DEF,5.4,Available,213,9,0,3.0,0.6
Rojo,MUN,DEF,4.8,Injured,121,3,0,1.0,0.1
Bailly,MUN,DEF,4.9,Injured,0,0,0,0.0,0.0
Dalot,MUN,DEF,4.9,Doubtful,59,1,0,1.0,0.1
